# PyMovie format
#
# from file: diffraction_with_central_spot_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:5.5247]
# R @ [00:00:5.9247]
#
# lightcurve model: diffraction
# event category: normal
#
# UTC time: 2022-12-25 19:15:25.789541+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.40000 sec
# chord_length_km:  2.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
295,[00:00:10.1480],3017.55,3000.34,13.35
296,[00:00:10.1824],2997.65,3000.60,3.58
297,[00:00:10.2168],3078.15,2999.34,29.34
298,[00:00:10.2512],2960.46,3000.41,8.11
299,[00:00:10.2856],2958.50,2999.93,3.12
300,[00:00:10.3200],3047.22,2999.67,8.88
301,[00:00:10.3544],3001.50,3000.11,0.36
302,[00:00:10.3888],3068.95,3000.34,-21.55
303,[00:00:10.4232],3026.46,3000.29,-6.91
304,[00:00:10.4576],2921.33,2999.80,-22.07
305,[00:00:10.4920],2907.75,3000.16,-3.63
306,[00:00:10.5264],2924.13,3000.19,-25.66
307,[00:00:10.5608],2939.97,3000.20,22.18
308,[00:00:10.5952],3005.95,2999.93,41.63
309,[00:00:10.6296],3047.34,3000.27,-12.70
310,[00:00:10.6640],2967.72,3000.07,3.64
311,[00:00:10.6984],2987.01,2999.81,-21.06
312,[00:00:10.7328],2971.52,3000.12,3.54
313,[00:00:10.7672],3013.78,3000.14,-9.58
314,[00:00:10.8016],3038.78,3000.14,-15.17
315,[00:00:10.8360],2890.36,3000.02,-34.32
316,[00:00:10.8704],3057.67,2999.97,9.23
317,[00:00:10.9048],2948.08,3000.10,-49.34
318,[00:00:10.9392],3087.03,3000.08,-13.07
319,[00:00:10.9736],2976.02,3000.08,54.81
320,[00:00:11.0080],2921.05,3000.06,-31.79
321,[00:00:11.0424],2958.65,3000.14,25.69
322,[00:00:11.0768],3050.83,2999.92,8.39
323,[00:00:11.1112],3126.76,2999.97,10.08
324,[00:00:11.1456],3034.92,3000.07,-19.44
325,[00:00:11.1800],2952.44,3000.21,-15.22
326,[00:00:11.2144],2978.09,3000.54,-4.36
327,[00:00:11.2488],2995.77,2999.64,2.36
328,[00:00:11.2832],2999.98,2999.89,9.85
329,[00:00:11.3176],2983.57,3000.16,-32.89
330,[00:00:11.3520],3086.20,3000.00,3.67
331,[00:00:11.3864],2906.54,3000.01,48.39
332,[00:00:11.4208],3015.43,3000.24,-18.33
